ID_Legal,Nombre_de_Compania,Domicilio,Ciudad,Provincia,Region,Tipo_Producto,Precio,Fecha,Compania_Bandera,Latitud,Longitud
33-64337382-9,10 DE SETIEMBRE S.A.,Av. Mosconi 299,LOMAS DEL MIRADOR,BUENOS AIRES,PAMPEANA,Gasoil Grade 2,172.5,01/10/2022,PUMA,-34.658476,-58.529443
33-64337382-9,10 DE SETIEMBRE S.A.,Av. Mosconi 299,LOMAS DEL MIRADOR,BUENOS AIRES,PAMPEANA,Gasoil Grade 3,219.0,01/10/2022,PUMA,-34.658476,-58.529443
33-64337382-9,10 DE SETIEMBRE S.A.,Av. Mosconi 299,LOMAS DEL MIRADOR,BUENOS AIRES,PAMPEANA,Compressed Natural Gas,63.9,05/09/2022,PUMA,-34.658476,-58.529443
33-64337382-9,10 DE SETIEMBRE S.A.,Av. Mosconi 299,LOMAS DEL MIRADOR,BUENOS AIRES,PAMPEANA,Pretol Premium - 95 Octane,188.8,01/10/2022,PUMA,-34.658476,-58.529443
33-64337382-9,10 DE SETIEMBRE S.A.,Av. Mosconi 299,LOMAS DEL MIRADOR,BUENOS AIRES,PAMPEANA,Pretol Undeladed - 95/98 Octane,154.6,01/10/2022,PUMA,-34.658476,-58.529443
30-71548931-3,25 ALVEAR S.R.L,9 Y 36 790,25 DE MAYO,BUENOS AIRES,PAMPEANA,Gasoil Grade 2,353.2,02/10/2023,SHELL C.A.P.S.A.,-35.425,-60.16962
30-71548931-3,25 ALVEAR S.R.L,9 Y 36 790,25 DE MAYO,BUENOS AIRES,PAMPEANA,Gasoil Grade 3,452.2,02/10/2023,SHELL C.A.P.S.A.,-35.425,-60.16962
30-71548931-3,25 ALVEAR S.R.L,9 Y 36 790,25 DE MAYO,BUENOS AIRES,PAMPEANA,Pretol Premium - 95 Octane,396.0,02/10/2023,SHELL C.A.P.S.A.,-35.425,-60.16962
30-71548931-3,25 ALVEAR S.R.L,9 Y 36 790,25 DE MAYO,BUENOS AIRES,PAMPEANA,Pretol Undeladed - 95/98 Octane,319.5,02/10/2023,SHELL C.A.P.S.A.,-35.425,-60.16962
30-71251168-7,1913 SRL,Julio A Roca 715,GOBERNADOR COSTA,CHUBUT,PATAGONIA,Gasoil Grade 2,325.5,24/10/2023,PUMA,-44.050662,-70.583041
30-71251168-7,1913 SRL,Julio A Roca 715,GOBERNADOR COSTA,CHUBUT,PATAGONIA,Gasoil Grade 3,413.0,24/10/2023,PUMA,-44.050662,-70.583041
30-71251168-7,1913 SRL,Julio A Roca 715,GOBERNADOR COSTA,CHUBUT,PATAGONIA,Pretol Premium - 95 Octane,323.0,24/10/2023,PUMA,-44.050662,-70.583041
30-71251168-7,1913 SRL,Julio A Roca 715,GOBERNADOR COSTA,CHUBUT,PATAGONIA,Pretol Undeladed - 95/98 Octane,240.0,24/10/2023,PUMA,-44.050662,-70.583041
30-71595431-8,2MIL10Y7 SRL,Ruta 6 Km 155.500,LUJAN,BUENOS AIRES,PAMPEANA,Gasoil Grade 2,282.9,10/08/2023,SHELL C.A.P.S.A.,-34.557095,-59.035694
30-71595431-8,2MIL10Y7 SRL,Ruta 6 Km 155.500,LUJAN,BUENOS AIRES,PAMPEANA,Gasoil Grade 3,348.9,10/08/2023,SHELL C.A.P.S.A.,-34.557095,-59.035694
30-71595431-8,2MIL10Y7 SRL,Ruta 6 Km 155.500,LUJAN,BUENOS AIRES,PAMPEANA,Pretol Premium - 95 Octane,317.9,10/08/2023,SHELL C.A.P.S.A.,-34.557095,-59.035694
30-71595431-8,2MIL10Y7 SRL,Ruta 6 Km 155.500,LUJAN,BUENOS AIRES,PAMPEANA,Pretol Undeladed - 95/98 Octane,254.2,10/08/2023,SHELL C.A.P.S.A.,-34.557095,-59.035694
30-56342987-5,25 DE MAYO SRL (EESS),25 DE MAYO 675,VILLA MERCEDES,SAN LUIS,CUYO,Gasoil Grade 2,322.0,23/10/2023,YPF,-33.67954,-65.46988
30-56342987-5,25 DE MAYO SRL (EESS),25 DE MAYO 675,VILLA MERCEDES,SAN LUIS,CUYO,Gasoil Grade 3,428.0,23/10/2023,YPF,-33.67954,-65.46988
30-56342987-5,25 DE MAYO SRL (EESS),25 DE MAYO 675,VILLA MERCEDES,SAN LUIS,CUYO,Compressed Natural Gas,174.85,02/09/2023,YPF,-33.67954,-65.46988
30-56342987-5,25 DE MAYO SRL (EESS),25 DE MAYO 675,VILLA MERCEDES,SAN LUIS,CUYO,Pretol Premium - 95 Octane,377.0,23/10/2023,YPF,-33.67954,-65.46988
30-56342987-5,25 DE MAYO SRL (EESS),25 DE MAYO 675,VILLA MERCEDES,SAN LUIS,CUYO,Pretol Undeladed - 95/98 Octane,293.0,23/10/2023,YPF,-33.67954,-65.46988
30-71512545-1,2MIL 3C S.R.L.,AV. 101 Nº 6211 (RUTA 8),SAN MARTIN,BUENOS AIRES,PAMPEANA,Gasoil Grade 2,314.3,05/10/2023,PUMA,-34.561286,-58.588248
30-71512545-1,2MIL 3C S.R.L.,AV. 101 Nº 6211 (RUTA 8),SAN MARTIN,BUENOS AIRES,PAMPEANA,Gasoil Grade 3,389.9,05/10/2023,PUMA,-34.561286,-58.588248
30-71512545-1,2MIL 3C S.R.L.,AV. 101 Nº 6211 (RUTA 8),SAN MARTIN,BUENOS AIRES,PAMPEANA,Compressed Natural Gas,129.9,21/09/2023,PUMA,-34.561286,-58.588248
30-71512545-1,2MIL 3C S.R.L.,AV. 101 Nº 6211 (RUTA 8),SAN MARTIN,BUENOS AIRES,PAMPEANA,Pretol Premium - 95 Octane,362.2,05/10/2023,PUMA,-34.561286,-58.588248
30-71512545-1,2MIL 3C S.R.L.,AV. 101 Nº 6211 (RUTA 8),SAN MARTIN,BUENOS AIRES,PAMPEANA,Pretol Undeladed - 95/98 Octane,288.3,05/10/2023,PUMA,-34.561286,-58.588248
33-71633190-9,59 SA,AV.SANTA FE 2428,MARTINEZ,BUENOS AIRES,PAMPEANA,Gasoil Grade 2,328.9,30/09/2023,AXION,-34.492969,-58.498379
33-71633190-9,59 SA,AV.SANTA FE 2428,MARTINEZ,BUENOS AIRES,PAMPEANA,Gasoil Grade 3,394.9,30/09/2023,AXION,-34.492969,-58.498379
33-71633190-9,59 SA,AV.SANTA FE 2428,MARTINEZ,BUENOS AIRES,PAMPEANA,Pretol Premium - 95 Octane,370.5,30/09/2023,AXION,-34.492969,-58.498379
33-71633190-9,59 SA,AV.SANTA FE 2428,MARTINEZ,BUENOS AIRES,PAMPEANA,Pretol Undeladed - 95/98 Octane,295.5,30/09/2023,AXION,-34.492969,-58.498379
30-70944428-6,44 LA PLATA SRL,44 y 142 2281,LA PLATA,BUENOS AIRES,PAMPEANA,Gasoil Grade 2,321.6,05/09/2023,SHELL C.A.P.S.A.,-34.94349,-57.991692
30-70944428-6,44 LA PLATA SRL,44 y 142 2281,LA PLATA,BUENOS AIRES,PAMPEANA,Gasoil Grade 3,398.5,05/09/2023,SHELL C.A.P.S.A.,-34.94349,-57.991692
30-70944428-6,44 LA PLATA SRL,44 y 142 2281,LA PLATA,BUENOS AIRES,PAMPEANA,Pretol Premium - 95 Octane,366.3,05/09/2023,SHELL C.A.P.S.A.,-34.94349,-57.991692
30-70944428-6,44 LA PLATA SRL,44 y 142 2281,LA PLATA,BUENOS AIRES,PAMPEANA,Pretol Undeladed - 95/98 Octane,288.9,05/09/2023,SHELL C.A.P.S.A.,-34.94349,-57.991692
30-70833125-9,4 GNC  S.A.,LA QUEMADA 2189,FIRMAT,SANTA FE,CENTRO,Gasoil Grade 2,445.0,14/10/2023,BLANCA,-33.46387,-61.49651
30-70833125-9,4 GNC  S.A.,LA QUEMADA 2189,FIRMAT,SANTA FE,CENTRO,Compressed Natural Gas,170.9,25/10/2023,BLANCA,-33.46387,-61.49651
