,Fecha,Venta
0,2002-01-11,1.7
1,2002-01-14,1.68
2,2002-01-15,1.95
3,2002-01-16,1.87
4,2002-01-17,1.97
5,2002-01-18,1.95
6,2002-01-21,1.8
7,2002-01-22,1.85
8,2002-01-23,1.77
9,2002-01-24,1.78
10,2002-01-25,1.78
11,2002-01-28,1.8
12,2002-01-29,1.8
13,2002-01-30,1.95
14,2002-01-31,2.05
15,2002-02-01,2.05
16,2002-02-04,2.05
17,2002-02-05,2.05
18,2002-02-06,2.05
19,2002-02-07,2.05
20,2002-02-08,2.05
21,2002-02-11,2.03
22,2002-02-12,1.98
23,2002-02-13,1.98
24,2002-02-14,1.99
25,2002-02-15,2.07
26,2002-02-18,2.08
27,2002-02-19,2.12
28,2002-02-20,2.2
29,2002-02-21,2.06
30,2002-02-22,2.11
31,2002-02-24,2.11
32,2002-02-25,2.16
33,2002-02-26,2.18
34,2002-02-27,2.22
35,2002-02-28,2.19
36,2002-03-01,2.2
37,2002-03-04,2.12
38,2002-03-05,2.12
39,2002-03-06,2.14
40,2002-03-07,2.22
41,2002-03-08,2.27
42,2002-03-11,2.32
43,2002-03-12,2.43
44,2002-03-13,2.42
45,2002-03-14,2.46
46,2002-03-15,2.45
47,2002-03-18,2.44
48,2002-03-19,2.46
49,2002-03-20,2.54
50,2002-03-21,2.55
51,2002-03-22,3.1
52,2002-03-25,3.6
53,2002-03-26,3.1
54,2002-03-27,3.05
55,2002-04-02,2.93
56,2002-04-03,2.97
57,2002-04-04,2.84
58,2002-04-05,2.82
59,2002-04-08,2.79
60,2002-04-09,2.8
61,2002-04-10,2.8
62,2002-04-11,2.84
63,2002-04-12,2.98
64,2002-04-13,2.98
65,2002-04-15,2.95
66,2002-04-16,2.82
67,2002-04-17,2.89
68,2002-04-18,3.15
69,2002-04-19,3.21
70,2002-04-29,2.95
71,2002-04-30,3.03
72,2002-05-02,3.15
73,2002-05-03,3.2
74,2002-05-06,3.21
75,2002-05-07,3.23
76,2002-05-08,3.25
77,2002-05-09,3.22
78,2002-05-10,3.31
79,2002-05-13,3.3
80,2002-05-14,3.3
81,2002-05-15,3.27
82,2002-05-16,3.28
83,2002-05-17,3.42
84,2002-05-20,3.57
85,2002-05-21,3.57
86,2002-05-22,3.52
87,2002-05-23,3.49
88,2002-05-24,3.57
89,2002-05-27,3.54
90,2002-05-28,3.54
91,2002-05-29,3.62
92,2002-05-30,3.65
93,2002-05-31,3.62
94,2002-06-03,3.65
95,2002-06-04,3.66
96,2002-06-05,3.67
97,2002-06-06,3.7
98,2002-06-07,3.71
99,2002-06-10,3.55
100,2002-06-11,3.54
101,2002-06-12,3.53
102,2002-06-13,3.55
103,2002-06-14,3.62
104,2002-06-18,3.58
105,2002-06-19,3.64
106,2002-06-20,3.67
107,2002-06-21,3.75
108,2002-06-24,3.83
109,2002-06-25,3.93
110,2002-06-26,3.91
111,2002-06-27,3.87
112,2002-06-28,3.92
113,2002-07-01,3.83
114,2002-07-02,3.7
115,2002-07-03,3.64
116,2002-07-04,3.6
117,2002-07-05,3.64
118,2002-07-08,3.59
119,2002-07-10,3.59
120,2002-07-11,3.62
121,2002-07-12,3.63
122,2002-07-15,3.63
123,2002-07-16,3.6
124,2002-07-17,3.58
125,2002-07-18,3.61
126,2002-07-19,3.62
127,2002-07-22,3.63
128,2002-07-23,3.68
129,2002-07-24,3.66
130,2002-07-25,3.66
131,2002-07-26,3.68
132,2002-07-29,3.67
133,2002-07-30,3.67
134,2002-07-31,3.73
135,2002-08-01,3.65
