id_empresa,nombre_empresa,id_empresa_bandera,direccion,localidad,provincia,region,latitud,longitud
102,M.P.C.I. S.A.,20,RUTA 3 KM. 298,AZUL,BUENOS AIRES,Pampeana,-36.78817,-59.8347
104,CALCAGNO RICARDO OMAR Y CALCAGNO RICARDO JAVIER SOC. HECHO,4,AV. 25 DE MAYO 280,RESISTENCIA,CHACO,Noreste,-27.448803,-58.98882
105,LAS SIERRAS S.R.L,1,RUTA 36 Y ACCESO 005,RIO CUARTO,CORDOBA,Centro,-33.08114,-64.33998
107,MACHAGAI COMBUSTIBLES SRL,2,M.MORENO Y 25 DE MAYO,MACHAGAY,CHACO,Noreste,-26.9247,-60.04693
108,JACQUELIN O Y CARIGNANO J S DE HECHO,2,GENERAL LOPEZ 433,WHEELWRIGHT,SANTA FE,Centro,-33.791755919248,-61.2066785958557
109,AGROMARE SRL,2,CALLE 29 Y DIAGONAL 61,VERONICA,BUENOS AIRES,Pampeana,-35.3903,-57.33949
110,AGROMARE SRL,2,RUTA 36 KM 121,VIEYTES,BUENOS AIRES,Pampeana,-35.27978,-57.57332
111,PAREDES Y CIA. S.C.,2,RIVADAVIA 1104,ESQUEL,CHUBUT,Patagonia,-42.9131,-71.31945
113,CASACOM S.A.,2,AV. VENEZUELA 4693,VILLA LUZURIAGA,BUENOS AIRES,Pampeana,-34.684115,-58.592343
115,P. & H. SRL,1,AV. 25 DE MAYO 2450,RESISTENCIA,CHACO,Noreste,-27.43418,-59.00773
117,SERVICENTRO LOS VALLES SRL,2,DIEGO DE ROJAS Y TUPAC AMARU S/N,TAFI DEL VALLE,TUCUMAN,Cuyo,-26.85519,-65.70955
119,GUSTAVO JULIAN Y MIGUEL A ZUAIN,26,ruta nacional Nº 22 Km 999,CHOELE CHOEL,RIO NEGRO,Patagonia,-39.27121,-65.67066
120,GUSTAVO JULIAN Y MIGUEL A ZUAIN,28,REPUBLICA ARGENTINA 345 Nº 345,CHOELE CHOEL,RIO NEGRO,Patagonia,-39.289246,-65.664537
121,JACQUELIN Y CARIGNANO,1,SAN MARTIN 502,WHEELWRIGHT,SANTA FE,Centro,-33.79317,-61.21256
123,SERVICENTRO LOS VALLES SRL,2,RUTA 307 KM 51 (EL MOLLAR),TAFI DEL VALLE,TUCUMAN,Cuyo,-26.936247,-65.675995
125,LOS PUENTES SRL,2,RUTA 144 KM 01,SAN RAFAEL,MENDOZA,Cuyo,-34.65159,-68.38028
126,LA VEGA S.A.,2,RUTA 234 KM. 66,SAN MARTIN DE LOS ANDES,NEUQUEN,Patagonia,-40.13641,-71.28796
130,COMBUSTIBLES VAZQUEZ HNOS. S.R.L.,28,AV. ENTRE RIOS 1102,CAPITAL FEDERAL,CAPITAL FEDERAL,Pampeana,-34.62168,-58.39136
133,ENDAPLA S.A.,28,AV SAN MARTIN 910,GDOR. BAIGORRIA,SANTA FE,Centro,-32.86234,-60.701866
135,GALVAN REY SERGIO ALEJANDRO,2,MATIENZO ESQ. VICENTE LOPEZ Y PLANES,CONCEPCION,TUCUMAN,Cuyo,-27.34913,-65.60624
136,ESTACION DE SERVICIO LAURENCENA SRL,4,LAURENCENA 98,PARANA,ENTRE RIOS,Centro,-31.7223,-60.51522
138,RUBO S.A.,1,LAT. OESTE DE AV. CIRCUNV. 1095 SUR,SANTA LUCIA,SAN JUAN,Cuyo,-31.54527,-68.50526
139,CV SRL,26,Ruta 259 3.50,ESQUEL,CHUBUT,Patagonia,-42.90752,-71.28829
140,LA HORQUETA S.A.,6,España 448,SAN NICOLAS,BUENOS AIRES,Pampeana,-33.33944,-60.21764
143,COMBUSTIBLES NUEVO CUYO S.R.L.,2,COMANDANTE CABOT OESTE 623,SAN JUAN,SAN JUAN,Cuyo,-31.55735,-68.53374
144,SI SRL,2,AV ALBERDI 1102,ROSARIO,SANTA FE,Centro,-32.91504,-60.68541
145,MAIPU RIO S.R.L.,2,SAN MARTIN 998,RIO CUARTO,CORDOBA,Centro,-33.12088,-64.35804
146,RODRIGUEZ FLORENCIO DOMINGO,2,BLANDENGUES 205,SAN MIGUEL DEL MONTE,BUENOS AIRES,Pampeana,-35.43964,-58.80169
